N_obs,SNR,L,rep,oracle_l2_to_rkhs_mean_cos2
15,0.5,1,175,0.5711825525364884
15,0.5,2,175,0.9541183130172491
15,0.5,3,175,0.694065990441555
15,0.5,1,176,0.5329243300644674
15,0.5,2,176,0.9476284102100407
15,0.5,3,176,0.9451325751560793
15,0.5,1,177,0.9377148250551162
15,0.5,2,177,0.9667329115022687
15,0.5,3,177,0.9041900068433354
15,0.5,1,178,0.42156050973368936
15,0.5,2,178,0.9043064162227352
15,0.5,3,178,0.9874036848288501
15,0.5,1,179,0.389687367272906
15,0.5,2,179,0.7842000369232837
15,0.5,3,179,0.9942216069475901
15,0.5,1,180,0.4003780700135489
15,0.5,2,180,0.5230636279499977
15,0.5,3,180,0.9780713595666128
15,0.5,1,181,0.2720511462978209
15,0.5,2,181,0.7702675489681652
15,0.5,3,181,0.8145819585542443
15,0.5,1,182,0.9381901930498459
15,0.5,2,182,0.9847830778477903
15,0.5,3,182,0.6724438545285891
15,0.5,1,183,0.2752349911094192
15,0.5,2,183,0.7224094477497978
15,0.5,3,183,0.6696866266254653
15,0.5,1,184,0.8310590305983777
15,0.5,2,184,0.94873638131033
15,0.5,3,184,0.7721497738172708
15,0.5,1,185,0.6849494132886692
15,0.5,2,185,0.5375897165843934
15,0.5,3,185,0.987031416834608
15,0.5,1,186,0.8306047391446045
15,0.5,2,186,0.5091487771047897
15,0.5,3,186,0.949427945948364
15,0.5,1,187,0.005303546761542543
15,0.5,2,187,0.9142249042351229
15,0.5,3,187,0.770325866778085
15,0.5,1,188,0.8000173762427768
15,0.5,2,188,0.738560903193729
15,0.5,3,188,0.9726120700811026
15,0.5,1,189,0.007856496173128575
15,0.5,2,189,0.897389693553488
15,0.5,3,189,0.9497403799963283
15,0.5,1,190,0.2998167905885566
15,0.5,2,190,0.6427436879265807
15,0.5,3,190,0.9895412502239679
15,0.5,1,191,0.7029426432753146
15,0.5,2,191,0.8641694267419061
15,0.5,3,191,0.713160460172188
15,0.5,1,192,0.3194407480571647
15,0.5,2,192,0.9225182927994132
15,0.5,3,192,0.7042683066912953
15,0.5,1,193,0.8360329896829922
15,0.5,2,193,0.7809368533574361
15,0.5,3,193,0.861563889416991
15,0.5,1,194,0.8409683370002177
15,0.5,2,194,0.6017082779072608
15,0.5,3,194,0.9430918887572878
15,0.5,1,195,0.6132763128511183
15,0.5,2,195,0.5394668630450702
15,0.5,3,195,0.9263803687892554
15,0.5,1,196,0.9398971434890204
15,0.5,2,196,0.7479291678392841
