N_obs,SNR,L,target,method,metric,mean,ci_low,ci_high
15,1.0,3,OracleRKHS,RKHS,function_mean_cos2,0.7388689803180165,0.7243488653201935,0.7533890953158395
15,1.0,3,OracleL2,L2,function_mean_cos2,0.9168611602788032,0.9068748293116766,0.9268474912459297
15,1.0,3,OracleL2,RKHS,function_mean_cos2,0.8659580034406913,0.8504582131000147,0.8814577937813679
15,2.0,1,OracleRKHS,L2,function_mean_cos2,0.5292608640843461,0.4898345347706756,0.5686871933980167
15,2.0,1,OracleRKHS,RKHS,function_mean_cos2,0.8938233498967938,0.8748226817680871,0.9128240180255005
15,2.0,1,OracleL2,L2,function_mean_cos2,0.9392882844320595,0.9224703786516042,0.9561061902125148
15,2.0,1,OracleL2,RKHS,function_mean_cos2,0.7282647007396829,0.6907738108747579,0.7657555906046078
15,2.0,2,OracleRKHS,L2,function_mean_cos2,0.7378744291109715,0.7182180667682797,0.7575307914536632
15,2.0,2,OracleRKHS,RKHS,function_mean_cos2,0.9246723106030186,0.9151697639092977,0.9341748572967394
15,2.0,2,OracleL2,L2,function_mean_cos2,0.9804404088244368,0.9774961530236277,0.983384664625246
15,2.0,2,OracleL2,RKHS,function_mean_cos2,0.8596919634656769,0.8408935324969182,0.8784903944344356
15,2.0,3,OracleRKHS,L2,function_mean_cos2,0.8027831500834556,0.7892549505670358,0.8163113495998754
15,2.0,3,OracleRKHS,RKHS,function_mean_cos2,0.9234740737242256,0.9160904825627972,0.930857664885654
15,2.0,3,OracleL2,L2,function_mean_cos2,0.9720270299704012,0.966086913700552,0.9779671462402505
15,2.0,3,OracleL2,RKHS,function_mean_cos2,0.8807114528347665,0.8659605351362017,0.8954623705333312
30,0.5,1,OracleRKHS,L2,function_mean_cos2,0.2741170274529484,0.24270629377817965,0.3055277611277172
30,0.5,1,OracleRKHS,RKHS,function_mean_cos2,0.4635719493134161,0.4255719151138052,0.501571983513027
30,0.5,1,OracleL2,L2,function_mean_cos2,0.6105101281362992,0.568057118770652,0.6529631375019465
30,0.5,1,OracleL2,RKHS,function_mean_cos2,0.7429988892130907,0.7052250284767093,0.780772749949472
30,0.5,2,OracleRKHS,L2,function_mean_cos2,0.5320350925077699,0.5133428049242387,0.5507273800913012
30,0.5,2,OracleRKHS,RKHS,function_mean_cos2,0.6576166967009718,0.6392976517491901,0.6759357416527535
30,0.5,2,OracleL2,L2,function_mean_cos2,0.8710757304699998,0.8577306055944732,0.8844208553455263
30,0.5,2,OracleL2,RKHS,function_mean_cos2,0.8751598565470203,0.8582774508076906,0.8920422622863501
30,0.5,3,OracleRKHS,L2,function_mean_cos2,0.702030087660604,0.6928081065095907,0.7112520688116174
30,0.5,3,OracleRKHS,RKHS,function_mean_cos2,0.7650731377154179,0.7519751647675342,0.7781711106633015
30,0.5,3,OracleL2,L2,function_mean_cos2,0.8904252148481084,0.8791851875979962,0.9016652420982206
30,0.5,3,OracleL2,RKHS,function_mean_cos2,0.8941989452239867,0.8815569951022437,0.9068408953457296
30,1.0,1,OracleRKHS,L2,function_mean_cos2,0.5413645956604383,0.5023170839797559,0.5804121073411206
30,1.0,1,OracleRKHS,RKHS,function_mean_cos2,0.8632299123894928,0.8418802963473825,0.884579528431603
30,1.0,1,OracleL2,L2,function_mean_cos2,0.8949409706786482,0.8709009350738595,0.9189810062834369
30,1.0,1,OracleL2,RKHS,function_mean_cos2,0.7511571228714317,0.7159197390449378,0.7863945066979255
30,1.0,2,OracleRKHS,L2,function_mean_cos2,0.7144945073431803,0.6953984757731997,0.733590538913161
30,1.0,2,OracleRKHS,RKHS,function_mean_cos2,0.8601964330633717,0.8462696330020955,0.8741232331246479
30,1.0,2,OracleL2,L2,function_mean_cos2,0.9687230541786453,0.9622795792206732,0.9751665291366175
30,1.0,2,OracleL2,RKHS,function_mean_cos2,0.8225898945691398,0.8020355907858231,0.8431441983524565
