N_obs,SNR,rep,L,regularization,xcv_score,OracleRKHS_L2_function_mean_cos2,OracleRKHS_RKHS_function_mean_cos2,OracleL2_L2_function_mean_cos2,OracleL2_RKHS_function_mean_cos2
15,0.5,48,1,0.1,-1.0620384780661654,0.17353531495848012,0.7323445934092043,0.017114203624395453,0.5250736187606868
15,0.5,48,2,0.1,-1.0620384780661654,0.5219783511297098,0.5953833520351766,0.8732212802322739,0.4935172614085931
15,0.5,48,3,0.1,-1.0620384780661654,0.6682469738293002,0.6617585930771792,0.9882309011357481,0.9793606787128111
15,0.5,49,1,0.1,-1.0998913833252009,0.03045009056009748,0.031519118744095596,0.12102954076532048,0.057572386423747055
15,0.5,49,2,0.1,-1.0998913833252009,0.3723723474187397,0.6455564848544058,0.5980034776810647,0.6254863668780325
15,0.5,49,3,0.1,-1.0998913833252009,0.7266011249470822,0.7370391118895938,0.9679012224643491,0.9471403415292975
15,0.5,50,1,1.0,-1.1196556964616742,0.02854479586738335,0.01570275846667157,0.6836391381753125,0.627667860040702
15,0.5,50,2,1.0,-1.1196556964616742,0.40103387342323304,0.41190713577193916,0.7892846061447765,0.7885034456585635
15,0.5,50,3,1.0,-1.1196556964616742,0.6394695837797901,0.6417738073314366,0.6503646099944417,0.6458377398236987
15,0.5,51,1,0.1,-1.071422364059539,0.32542901013563325,0.2428396201684289,0.5334324495354684,0.9420223950449252
15,0.5,51,2,0.1,-1.071422364059539,0.5940664428988596,0.8076756043123435,0.9134946979076775,0.9727030222259375
15,0.5,51,3,0.1,-1.071422364059539,0.6849727220379315,0.7303768905897994,0.988593695260685,0.9751232913894546
15,0.5,52,1,0.1,-1.0817947493341744,0.26094582433769714,0.4369576073700009,0.7736939947841825,0.7548231946061532
15,0.5,52,2,0.1,-1.0817947493341744,0.47955354066751577,0.4981485815246855,0.7686284160541134,0.5380870429758855
15,0.5,52,3,0.1,-1.0817947493341744,0.6051916377718568,0.5758649618734274,0.881868548640481,0.7755564175050377
15,0.5,53,1,0.1,-1.106258376224465,0.31053019151418854,0.5858119073105055,0.3080325302954495,0.6983064381949963
15,0.5,53,2,0.1,-1.106258376224465,0.5219123377520786,0.6471316456700265,0.8119612734948833,0.9040691075159528
15,0.5,53,3,0.1,-1.106258376224465,0.6413023507372929,0.641834322145466,0.9326222523534549,0.9520972004391718
15,0.5,54,1,0.1,-1.0757364693777653,0.11775555233232907,0.40961115161773143,0.6833528643814142,0.5821710641743509
15,0.5,54,2,0.1,-1.0757364693777653,0.4882180682299814,0.47910622858527674,0.9562858121772194,0.9545747801555649
15,0.5,54,3,0.1,-1.0757364693777653,0.7698364295931582,0.8812566080763573,0.8861087153365297,0.96498490052098
15,0.5,55,1,0.1,-1.069452486539917,0.24932505952205913,0.6092588028358684,0.7049609387846104,0.8721452893415227
15,0.5,55,2,0.1,-1.069452486539917,0.5020504782602525,0.5244185404053927,0.7353911755484066,0.7749420823183714
15,0.5,55,3,0.1,-1.069452486539917,0.6998381175279921,0.7261130217768687,0.9525789378430765,0.9577573431068559
15,0.5,56,1,1.0,-1.1130691508190302,0.11528735510242674,0.11357865578669966,0.7231629568719458,0.738648463507121
15,0.5,56,2,1.0,-1.1130691508190302,0.3942163409536261,0.42168483891247105,0.7779183861124812,0.7981612539643155
15,0.5,56,3,1.0,-1.1130691508190302,0.6356373874422704,0.6370572848484086,0.8306392685559052,0.8417524119535879
15,0.5,57,1,0.1,-1.1100190241982906,0.053994856441325026,0.1835573554870944,0.06895046373846316,0.264708594283158
15,0.5,57,2,0.1,-1.1100190241982906,0.5660028920752419,0.674053409873235,0.9788137861690942,0.8550853919514649
15,0.5,57,3,0.1,-1.1100190241982906,0.6473449116955833,0.6984584908758724,0.7484478811711148,0.6795659848871685
15,0.5,58,1,0.1,-1.0535787300813046,0.4676228770458781,0.6927282891190236,0.35774966594465296,0.8042505413668001
15,0.5,58,2,0.1,-1.0535787300813046,0.6749961672143171,0.8144884891522375,0.9315939039306007,0.9434374908094589
15,0.5,58,3,0.1,-1.0535787300813046,0.689281699282808,0.8176428110293229,0.7036432719730527,0.7072422724770333
15,0.5,59,1,0.1,-1.1088240105985023,0.4996331230209345,0.6988712163097234,0.8793291971988468,0.8530818441607715
15,0.5,59,2,0.1,-1.1088240105985023,0.605010254031717,0.7918581255960133,0.9420521340111192,0.888566826166395
15,0.5,59,3,0.1,-1.1088240105985023,0.6330815842118787,0.6172616011219929,0.7716443978082315,0.6800085507925818
15,0.5,60,1,1.0,-1.1053812247344907,0.08937486322819875,0.1335154989974783,0.9391650878036405,0.9478787219975117
15,0.5,60,2,1.0,-1.1053812247344907,0.5542417723614594,0.6587156612611133,0.7388897714708011,0.8486184176831787
15,0.5,60,3,1.0,-1.1053812247344907,0.6413696541253738,0.6426900645169139,0.8251887601033642,0.8262909359276337
15,0.5,61,1,1.0,-1.1006671435000348,0.08532638637426591,0.07639795858674528,0.459615195574802,0.44913682138270244
15,0.5,61,2,1.0,-1.1006671435000348,0.4579871493035818,0.4747016375030769,0.74641621977019,0.7228193741333767
15,0.5,61,3,1.0,-1.1006671435000348,0.7399457799968783,0.7494696860286051,0.9289008893621186,0.9390471886464983
15,0.5,62,1,0.1,-1.09970414216116,0.3226679634238669,0.6166863349697775,0.7904098071370484,0.7993470258020221
15,0.5,62,2,0.1,-1.09970414216116,0.5968917969999623,0.8017623880641374,0.8470009930562526,0.9035822254910642
15,0.5,62,3,0.1,-1.09970414216116,0.8236510710259056,0.8825202798338712,0.970218062408914,0.9514099776953456
15,0.5,63,1,1.0,-1.1043223265981297,0.06955975803422837,0.06988492058426717,0.6268485137764004,0.6202482610862753
15,0.5,63,2,1.0,-1.1043223265981297,0.30335369823140745,0.31990632382017736,0.8475533357651464,0.8590894223860372
15,0.5,63,3,1.0,-1.1043223265981297,0.671741992543757,0.7006361859550735,0.6573798275815317,0.6763583953748781
15,0.5,64,1,1.0,-1.102885703023509,0.15117168868901482,0.17117707492401385,0.8694583488811427,0.8742779191755079
15,0.5,64,2,1.0,-1.102885703023509,0.5819561073395749,0.596633320713511,0.8939883831825748,0.9072293736549855
15,0.5,64,3,1.0,-1.102885703023509,0.6621472038953831,0.7353010206234328,0.8309324707318752,0.917991291694786
15,0.5,65,1,1.0,-1.1116286068474077,0.23559432141643974,0.11317006583619853,0.9024745063146073,0.6240243638406004
15,0.5,65,2,1.0,-1.1116286068474077,0.4519969328560023,0.5039028171703315,0.8390027594469753,0.8709256308207214
15,0.5,65,3,1.0,-1.1116286068474077,0.6693288005143745,0.6841579122273848,0.6651116545801605,0.6729580269264317
15,0.5,66,1,0.1,-1.0797528731217323,0.007976102978145773,0.03775747945392721,0.8543958293479436,0.9247482721789246
15,0.5,66,2,0.1,-1.0797528731217323,0.4872823788493276,0.5351794888941865,0.9027071723430724,0.745735890606577
15,0.5,66,3,0.1,-1.0797528731217323,0.6427950808565194,0.8249831369554365,0.6771405970166704,0.778304622812135
15,0.5,67,1,0.1,-1.101425465366735,0.46138249461654013,0.8577228012165559,0.28081172202172444,0.5525389912886842
15,0.5,67,2,0.1,-1.101425465366735,0.6773778859896561,0.7554260858294124,0.86878879859395,0.8409969546093266
15,0.5,67,3,0.1,-1.101425465366735,0.654446560311188,0.6393192405304358,0.8878398074446782,0.8525363927901656
15,0.5,68,1,0.1,-1.07661509843455,0.42571908896903043,0.5884008923950729,0.8706971710589345,0.9848675015958256
15,0.5,68,2,0.1,-1.07661509843455,0.565973156241779,0.724311048953876,0.9125272735958123,0.9829430324582356
15,0.5,68,3,0.1,-1.07661509843455,0.6631471592492094,0.6599174883438854,0.8782642143101292,0.8878834762947553
15,0.5,69,1,0.1,-1.0954388292856063,0.6762423467624726,0.7113334831277947,0.6154608003304936,0.6477260562345933
15,0.5,69,2,0.1,-1.0954388292856063,0.40242768907392495,0.7374216739014292,0.6973170639945104,0.7207060239259091
15,0.5,69,3,0.1,-1.0954388292856063,0.7561477498906716,0.740625678610105,0.9146380642630754,0.9180179086683805
15,0.5,70,1,1.0,-1.118357133803088,0.3366501947458786,0.40282502573971474,0.742839373516682,0.8864732593053188
15,0.5,70,2,1.0,-1.118357133803088,0.4329671434815607,0.4645399134822833,0.7622982265619369,0.781133975658959
15,0.5,70,3,1.0,-1.118357133803088,0.6479405354450446,0.651967995738262,0.8578907648559747,0.8443962751596118
