standardization,length,beta,mean_rmse,participant_1_rmse,participant_2_rmse,participant_3_rmse,participant_4_rmse,participant_5_rmse,participant_6_rmse,participant_7_rmse,participant_8_rmse,participant_9_rmse,participant_10_rmse,participant_11_rmse,participant_12_rmse,participant_13_rmse,participant_14_rmse,participant_15_rmse,participant_16_rmse,participant_17_rmse,participant_18_rmse,participant_19_rmse,participant_20_rmse,rank_within_scheme
participant_full,0.31622776601683794,0.0020000000000000005,0.8354762559900257,1.0414474207481266,0.9950946471323696,0.7698392747941323,0.7790398452354104,0.7742861924817973,0.5900472403759561,1.0025684333967764,1.2567995728867527,0.7484971678102716,0.7954163676951673,0.5873830243272282,0.9316650857254791,0.8740329461589473,0.6796302158475821,0.5264379971210822,0.8605694786801983,1.0209078716340347,0.9323602462803169,0.8105364841924196,0.732965607276465,15
participant_full,0.223872113856834,0.005023772863019165,0.8370826225892005,1.0187943609308654,0.9390665299355939,0.8179324362659421,0.9682332242461257,0.8394823526590045,0.6392093225347039,1.002068837994697,0.919737248665627,0.656017087149589,0.7798681242501464,0.7171785573159951,0.8506156392569648,0.8232902932258463,0.7197707879343883,0.6038576141310499,0.9349713555380973,0.9690435066360173,0.8851970614500677,0.881689023275024,0.7756290883882608,16
participant_full,0.35481338923357547,0.0020000000000000005,0.8373368636747349,1.126731633189155,0.9887364733537929,0.7412239368591812,0.6330766855314195,0.7625661814070098,0.6020329047846282,0.888947505523868,1.364160829575914,0.7638262974889312,0.7755906096464753,0.5848662642189018,0.9634646369320278,0.8733911548192406,0.6727859422337407,0.5236958103771296,0.9137599870259077,1.0585738455920004,0.9180481414609462,0.8417258466714967,0.7495325868029284,17
participant_full,0.19952623149688797,0.012619146889603867,0.837389451652116,0.9784217519502845,0.8935362412768517,0.8130679063885884,0.852576132736688,0.7375835218783008,0.7192327599987898,0.9728475342066298,0.9245136139952791,0.6728933878396235,0.8508605591354022,0.7384515423210074,0.8432277423242261,0.7632846497057211,0.7623586345388835,0.6677859068073169,0.9886126977922443,0.9580565622311722,0.8745580678679146,0.9311706100312713,0.8047492100161246,18
participant_full,0.19952623149688797,0.007962143411069949,0.8377370250166927,0.9997115159147312,0.9129945896976934,0.8181769675895121,0.9020227955451274,0.7854585337654416,0.6964494933340959,0.9758971958762348,0.8910153775699496,0.6653317696020594,0.8116349484325323,0.7339702482876724,0.8452596488504875,0.776068280505182,0.7534548869553481,0.6551600464499046,0.9652746521884292,0.9662868860483469,0.8730397387150269,0.9267260467923796,0.8008068782136958,19
participant_full,0.223872113856834,0.020000000000000004,0.840760380342552,0.9754210338087516,0.8859235699612185,0.8063830192931739,0.7927958604767816,0.7195179655844631,0.7198506300991105,0.9742293518245774,0.9966316878732033,0.6844249438922225,0.8880726288855634,0.7404691113338675,0.852627774981334,0.7661962730494338,0.7527922880492002,0.6561591407669087,1.03220035162849,0.959977863863022,0.8734451688918525,0.9357604376899437,0.8023285048979215,20
participant_full,0.251188643150958,0.020000000000000004,0.8415946600011821,0.9961285478121615,0.8945857306772476,0.7920724605747033,0.7523554687653785,0.7150563076412784,0.700055200258411,0.9752068787909302,1.0429560528068988,0.6870001112066481,0.8932978625204921,0.7343718017272913,0.8608826124083644,0.7680567182082777,0.7345074130705188,0.6319084184090908,1.0703829263903324,0.9746577111904993,0.8675022446253026,0.9431803470951612,0.7977283858446527,21
participant_full,0.251188643150958,0.0031697863849222286,0.8427819924840151,1.0302896650886297,0.9666375769458849,0.8304660931435368,0.9993627421126353,0.892978440045456,0.5921063731896952,1.0447318490286492,0.995423811082242,0.6620296312704542,0.7813460592709351,0.6910195152796837,0.8574283893328938,0.8671432297575186,0.7001212273966942,0.5646465777544627,0.905260752749834,0.978785631877441,0.9083489720893849,0.8316024975927988,0.7559108146714701,22
participant_full,0.3981071705534973,0.0031697863849222286,0.8431757918179864,1.2137418287139514,0.9711214236273511,0.7219020066822084,0.539328041423611,0.7246558324827749,0.5667207978899569,0.8539745629059649,1.2683271673605834,0.6646873554383189,0.8135613751211901,0.6217420994012783,0.8907646655502595,0.8386768505199852,0.6698542975149426,0.5294024059196756,1.2102749031646973,1.153529511322408,0.8579363171577283,0.912849778801372,0.8404646153614713,23
participant_full,0.3981071705534973,0.0020000000000000005,0.8444660162681552,1.2316542800773376,0.9780264242852812,0.7284971016300209,0.5453197530030229,0.7554276748691876,0.5778195177819889,0.8046969181208562,1.3821708373875874,0.719133940879525,0.7779722820716487,0.5943278575831468,0.9406205365534012,0.878071418053396,0.6764359860996021,0.5256809406873937,1.0745269636797468,1.125778672829269,0.8911728596814044,0.879586917599833,0.8023994424894557,24
participant_full,0.31622776601683794,0.012619146889603867,0.8451078419174918,1.0780015968505776,0.9273034545471521,0.751582750397246,0.6568945216547981,0.7037859472000434,0.6399062722571632,0.9654054891272242,1.128540001331342,0.6706849138432499,0.8871565141160739,0.7136870404402046,0.8655822052499748,0.7784183285562734,0.6936854961059277,0.5972482382560456,1.178530797903429,1.0418685933387186,0.8515491155223088,0.963925147516056,0.8084004141360275,25
participant_full,0.19952623149688797,0.020000000000000004,0.8455849301088684,0.9691201081049513,0.8802804893665123,0.8255538861207669,0.8152525108469224,0.7330553277445804,0.74345101022373,0.9728745206014014,0.9572809810292824,0.6841804042962242,0.887350504223227,0.7523109306887322,0.8428706708388866,0.7676714743303711,0.7777138322300992,0.6920885845419601,1.0179014424377442,0.9579691735121711,0.876877787594006,0.9416493045872251,0.8162456588585725,26
participant_full,0.35481338923357547,0.007962143411069949,0.847006171454957,1.1350440012725007,0.9492605482675316,0.7307728201507075,0.5997163633503242,0.7039747880272469,0.6020724196086762,0.9442121236566517,1.170221347525008,0.6528611854609706,0.8741442439570422,0.6902074882432103,0.8638192023719314,0.7904548457369496,0.6757022125483436,0.5760029357548001,1.2398431979497748,1.0999690169548135,0.844643007082962,0.9662112218072464,0.8309904593724508,27
participant_full,0.1778279410038923,0.012619146889603867,0.8484445062958456,0.9814403680174738,0.8919734365885391,0.8409564927994841,0.8401292398123029,0.7686087837518418,0.7532860400570244,0.9728183047441383,0.8974669796317801,0.6848720452785905,0.8549558688687243,0.7550884824847319,0.8384207146251562,0.7602196706295101,0.7940983156911371,0.713719300763156,0.9964683530056908,0.967598720441057,0.8712668720937383,0.956463483179185,0.8290386534536486,28
participant_full,0.19952623149688797,0.005023772863019165,0.848649655288775,1.033260940222497,0.9401258808616866,0.8496262227227671,0.9541939771803509,0.8641214910025873,0.6773276383583859,0.9778965647808551,0.8644163627042214,0.6659071738623232,0.781940790417756,0.7420102242323111,0.8526095477126141,0.8113115676267135,0.752787606459116,0.6574597219411586,0.953611575210022,0.9821488836904916,0.8719769350156513,0.9333149454543299,0.8069450563196634,29
participant_full,0.28183829312644537,0.020000000000000004,0.8487743214853841,1.0320397825569534,0.9058912772777431,0.7786930758240048,0.7057708382415375,0.7148054424493516,0.6794568821616929,0.9804994600575163,1.0901400634186622,0.6807402651003807,0.9052806960445714,0.7377751295974664,0.8619863586451049,0.7714373590244861,0.7221510666728342,0.6245932131779879,1.1429429998579892,1.0090613526272116,0.8596337343389304,0.9675158293464037,0.8050716032868557,30
participant_full,0.1778279410038923,0.007962143411069949,0.8490797328442072,1.0028706915197882,0.9129876267460894,0.8467099610312546,0.8673801745321195,0.8058234770541439,0.7380706011154298,0.9737372078312193,0.8644294089004229,0.6830732567072207,0.8183904159423594,0.752248179587812,0.846764959799929,0.7579111120122761,0.7867193845613423,0.706359340744472,0.9787801201380859,0.9800453992399358,0.8644615107997398,0.9651842509493329,0.8296475776711706,31
